1950-01 36.6 50.4 GHCND:USW00023271 "Sacramento, CA" 43.5 4.41 01 1950 -1.4
1950-01 66.1 78.5 GHCND:USW00022521 "Honolulu, HI" 72.3 13.24 01 1950 -1.4
1950-01 19.1 30.7 GHCND:USW00024233 "Seattle, WA" 24.9 8.92 01 1950 -1.4
1950-01 67.3 78.9 GHCND:USW00012839 "Miami, FL" 73.1 0.5 01 1950 -1.4
1950-01 40.3 56.7 GHCND:USW00023174 "Los Angeles, CA" 48.5 2.54 01 1950 -1.4
1950-01 24.9 44.0 GHCND:USW00014733 "Buffalo, NY" 34.4 5.02 01 1950 -1.4
1950-01 17.1 45.5 GHCND:USW00093037 "Colorado Springs, CO" 31.3 0.32 01 1950 -1.4
1950-01 19.6 41.1 GHCND:USW00013988 "Kansas City, MO" 30.3 0.69 01 1950 -1.4
1950-01 21.2 32.8 GHCND:USW00024229 "Portland, OR" 27.0 10.11 01 1950 -1.4
1950-01 19.8 38.9 GHCND:USC00111577 "Chicago, IL" 29.4 3.78 01 1950 -1.4
1950-01 58.5 76.8 GHCND:USW00012930 "New Orleans, LA" 67.6 2.3 01 1950 -1.4
1950-01 -3.5 17.1 GHCND:USW00014922 "Minneapolis, MN" 6.8 1.27 01 1950 -1.4
1950-01 -2.8 18.6 GHCND:USW00025309 "Juneau, AK" 7.9 0.94 01 1950 -1.4
1950-01 39.5 57.9 GHCND:USW00013897 "Nashville, TN" 48.6 13.93 01 1950 -1.4
1950-01  59.4 GHCND:USC00186350 "Washington D.C."  2.08 01 1950 -1.4
1950-02 41.8 61.3 GHCND:USW00023271 "Sacramento, CA" 51.6 3.27 02 1950 -1.2
1950-02 69.2 79.4 GHCND:USW00022521 "Honolulu, HI" 74.3 1.04 02 1950 -1.2
1950-02 33.9 46.1 GHCND:USW00024233 "Seattle, WA" 40.0 5.74 02 1950 -1.2
1950-02 61.0 78.8 GHCND:USW00012839 "Miami, FL" 69.9 1.85 02 1950 -1.2
1950-02 45.9 61.3 GHCND:USW00023174 "Los Angeles, CA" 53.6 2.04 02 1950 -1.2
1950-02 17.6 32.0 GHCND:USW00014733 "Buffalo, NY" 24.8 4.26 02 1950 -1.2
1950-02 23.2 50.5 GHCND:USW00093037 "Colorado Springs, CO" 36.9 0.03 02 1950 -1.2
1950-02 24.9 46.0 GHCND:USW00013988 "Kansas City, MO" 35.4 1.22 02 1950 -1.2
1950-02 32.1 45.5 GHCND:USW00024229 "Portland, OR" 38.8 5.78 02 1950 -1.2
1950-02 19.2 33.2 GHCND:USC00111577 "Chicago, IL" 26.2 3.35 02 1950 -1.2
1950-02 50.0 75.0 GHCND:USW00012930 "New Orleans, LA" 62.5 1.46 02 1950 -1.2
1950-02 6.0 26.7 GHCND:USW00014922 "Minneapolis, MN" 16.3 0.68 02 1950 -1.2
